Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
Slovenia,5 to 6 years,Web developer,JavaScript; Python,19354.8387096774
Spain,5 to 6 years,Web developer; Mobile developer,C++; Groovy; Java; JavaScript; PHP; SQL,NA
India,9 to 10 years,Desktop applications developer,C#; SQL,9543.38569960358
India,5 to 6 years,Web developer,JavaScript; PHP,9690.20701805902
Germany,2 to 3 years,NA,Python; R; SQL,NA
United States,6 to 7 years,Web developer; Developer with a statistics or mathematics background; DevOps specialist,C#; JavaScript; PHP; Ruby; SQL,31e3
United States,16 to 17 years,Web developer,CoffeeScript; Elixir; Erlang; Java; JavaScript; Scala; SQL,135
United States,3 to 4 years,Web developer; Desktop applications developer; Database administrator; Systems administrator,C++; C#; Haskell; Java; JavaScript; SQL; VB.NET; VBA; Visual Basic 6,7e4
Slovak Republic,9 to 10 years,Web developer,JavaScript; PHP; SQL,20430.1075268817
Germany,20 or more years,Mobile developer; Embedded applications/devices developer; Desktop applications developer,C; C++; C#; Python,64516.1290322581
Canada,20 or more years,DevOps specialist,Go; Ruby,83333.3333333333
Germany,6 to 7 years,Desktop applications developer,C; C++; Python,NA
Canada,14 to 15 years,Desktop applications developer,C#,61328.7878787879
United Kingdom,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; Database administrator; DevOps specialist,C#; Go; Java; JavaScript; Ruby; SQL,75e3
United States,20 or more years,Other,C#; JavaScript; Objective-C; SQL,14e4
Canada,20 or more years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Desktop applications developer,Java; JavaScript; Matlab; SQL; TypeScript,75757.5757575758
United States,8 to 9 years,Web developer; Desktop applications developer,C#; JavaScript; SQL,54e3
United Kingdom,20 or more years,Web developer; Database administrator; Systems administrator; DevOps specialist,C#; JavaScript; SQL,NA
United States,9 to 10 years,Web developer,C#; F#; JavaScript; Rust; TypeScript,NA
Denmark,20 or more years,Data scientist; Desktop applications developer; Database administrator,C; C++; C#; SQL,NA
Syria,6 to 7 years,Web developer; Data scientist,C#; JavaScript; PHP; SQL,NA
Sri Lanka,11 to 12 years,Web developer,Java; PHP,NA
Malaysia,14 to 15 years,Web developer; Systems administrator,Go; JavaScript; Python; Ruby,26905.8295964126
Germany,20 or more years,Web developer,Java,NA
United States,20 or more years,Web developer; Desktop applications developer,C#; SQL,NA
Dominican Republic,10 to 11 years,Web developer; Desktop applications developer,C#; JavaScript; PHP; SQL; TypeScript,NA
United States,20 or more years,Developer with a statistics or mathematics background,Java; Matlab; Python,NA
United States,8 to 9 years,Mobile developer,C; C++; C#; Objective-C; Swift,NA
Germany,14 to 15 years,Web developer,Java; JavaScript; SQL; Swift; TypeScript,64516.1290322581
Germany,20 or more years,Web developer,C#; Java; JavaScript; SQL; TypeScript,NA
United States,8 to 9 years,Web developer; Other,C#; JavaScript,85e3
Spain,11 to 12 years,Web developer; Data scientist; Desktop applications developer; DevOps specialist,Assembly; C; C++; Common Lisp; Java; JavaScript; PHP; Python; SQL; VB.NET; Visual Basic 6,NA
Singapore,6 to 7 years,Web developer,C#; Java; JavaScript; PHP; SQL; TypeScript,NA
United Kingdom,1 to 2 years,Web developer,C#; JavaScript; SQL,23750
United States,20 or more years,DevOps specialist,C#,14e4
United States,14 to 15 years,Web developer,C#; JavaScript; SQL,105e3
United States,7 to 8 years,Web developer; Desktop applications developer,C#; Python; SQL; TypeScript,NA
Argentina,4 to 5 years,Web developer; Desktop applications developer,C#; SQL; Visual Basic 6,NA
Russian Federation,10 to 11 years,Web developer,Java; JavaScript; SQL,NA
India,2 to 3 years,NA,JavaScript; Python; SQL,NA
New Zealand,2 to 3 years,NA,C#; Java; JavaScript; Python; SQL; VB.NET,NA
United States,20 or more years,Web developer; Database administrator,C#; JavaScript; SQL,98e3
United States,3 to 4 years,Web developer,C; C++; C#; Java; JavaScript; Python; Swift; TypeScript,85e3
United States,5 to 6 years,Developer with a statistics or mathematics background,C; C++,98e3
United States,6 to 7 years,Web developer; Developer with a statistics or mathematics background,Java; JavaScript; Python; TypeScript,NA
Poland,12 to 13 years,NA,JavaScript; PHP; Python; SQL,NA
Poland,15 to 16 years,Web developer; Database administrator,C#; JavaScript; SQL,NA
Hungary,11 to 12 years,NA,C#; Java; JavaScript; SQL,NA
Sweden,4 to 5 years,Web developer,Java; JavaScript; PHP; SQL,3337.10407239819
Canada,20 or more years,Web developer,C; C++; Haskell; Java; JavaScript; PHP; SQL,NA
United Kingdom,20 or more years,Other,C; Perl; Python,NA
Sweden,18 to 19 years,Web developer; Mobile developer; Desktop applications developer,Java; JavaScript; TypeScript,NA
Spain,15 to 16 years,Desktop applications developer,Java,34408.6021505376
United States,4 to 5 years,NA,C; C++; Java; JavaScript; PHP; Python; SQL,NA
Czech Republic,5 to 6 years,NA,Python,NA
Canada,3 to 4 years,Web developer; Mobile developer,CoffeeScript; Java; JavaScript; Python; SQL,NA
United States,4 to 5 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,C; C++; C#; Java; Matlab; Objective-C; PHP; Python; SQL; Swift; VB.NET,NA
Switzerland,20 or more years,Web developer,Clojure; Java; Scala,NA
Bahrain,4 to 5 years,Web developer,C#; JavaScript; PHP; SQL,NA
United States,10 to 11 years,Web developer; Embedded applications/devices developer; Desktop applications developer,C++; Python,68500
United States,8 to 9 years,Desktop applications developer,C++,NA
Poland,20 or more years,Embedded applications/devices developer; Desktop applications developer; Systems administrator; Other,Assembly; C; C++; Java; JavaScript; Python,NA
United States,19 to 20 years,Developer with a statistics or mathematics background; Desktop applications developer,C++; C#; Matlab; Python; VB.NET; VBA; Visual Basic 6,125e3
Canada,9 to 10 years,Web developer,JavaScript; PHP; SQL,45454.5454545455
United Kingdom,4 to 5 years,Web developer; Graphic designer,C#; JavaScript; SQL,NA
United Kingdom,7 to 8 years,Web developer; Desktop applications developer,C; C++; C#; JavaScript; PHP; Python; SQL; TypeScript,36075
Canada,8 to 9 years,Web developer; Data scientist; Database administrator,Groovy; Ruby; SQL,NA
United Kingdom,4 to 5 years,Web developer; Mobile developer,C; Java; JavaScript; Python; Swift,NA
United States,1 to 2 years,Web developer,C#; JavaScript; SQL; VB.NET,6e4
India,4 to 5 years,Web developer; Mobile developer; Desktop applications developer,C#; JavaScript; SQL; TypeScript; VB.NET; VBA,NA
India,10 to 11 years,Mobile developer,JavaScript; PHP,NA
United States,8 to 9 years,Web developer; Graphics programming; Graphic designer; Desktop applications developer; Quality assurance engineer,C#; JavaScript; SQL; VB.NET,NA
Romania,13 to 14 years,Mobile developer,Objective-C,NA
Brazil,15 to 16 years,Web developer,Java; JavaScript,NA
United Kingdom,6 to 7 years,Web developer,JavaScript; Ruby,43750
France,3 to 4 years,NA,CoffeeScript; Perl; Python; Ruby,NA
Hungary,4 to 5 years,NA,C#; Java; VBA,NA
Germany,7 to 8 years,Machine learning specialist; Data scientist; Systems administrator; DevOps specialist,Assembly; C; Python; R; SQL,14051.6129032258
India,1 to 2 years,Web developer,C#; JavaScript; Ruby,2642.78373219792
United States,13 to 14 years,Other,C++; C#; JavaScript,65e3
Australia,6 to 7 years,Web developer,JavaScript; PHP; SQL; TypeScript,52800
Malaysia,11 to 12 years,NA,C; C++; C#; Java; JavaScript; PHP; VB.NET,NA
United Kingdom,20 or more years,Data scientist; Database administrator,JavaScript; PHP; SQL,NA
Egypt,9 to 10 years,NA,Matlab; Python,NA
United Kingdom,2 to 3 years,Web developer,JavaScript; PHP; SQL,NA
Canada,5 to 6 years,NA,JavaScript; PHP; Ruby; TypeScript,NA
Serbia,20 or more years,Graphic designer; Desktop applications developer,C#,58064.5161290323
Brazil,8 to 9 years,NA,Assembly; CoffeeScript; Java; JavaScript; Matlab; PHP; Python; SQL,NA
Italy,11 to 12 years,Web developer; Database administrator,JavaScript; PHP; SQL,32258.064516129
United States,8 to 9 years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer; Quality assurance engineer,C#; JavaScript; SQL; VB.NET; Visual Basic 6,NA
Germany,14 to 15 years,Desktop applications developer,C#; SQL,59408.6021505376
Spain,8 to 9 years,Embedded applications/devices developer; Desktop applications developer,C; C++; Java,32258.064516129
Germany,18 to 19 years,Embedded applications/devices developer,C; C++; Java; Python,NA
Germany,9 to 10 years,Mobile developer,Objective-C; Swift,NA
United Kingdom,6 to 7 years,Web developer; Graphic designer; Desktop applications developer; Quality assurance engineer,JavaScript; PHP; Python; Ruby; SQL,NA
United States,10 to 11 years,Web developer; Data scientist; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,C#; JavaScript; SQL; VB.NET,NA
United Kingdom,19 to 20 years,NA,C#; Matlab; R; SQL,NA
Bulgaria,6 to 7 years,Web developer; Mobile developer; Embedded applications/devices developer,C#; Java; JavaScript; Objective-C; SQL; VB.NET; VBA; Visual Basic 6,NA
Russian Federation,20 or more years,Web developer,JavaScript; PHP; Python; SQL,13366.7502088555
United States,7 to 8 years,Developer with a statistics or mathematics background,C; C++; Python,101e3
France,4 to 5 years,NA,Matlab; Python; R,NA
Germany,20 or more years,Web developer; Quality assurance engineer,PHP,NA
United States,3 to 4 years,Web developer; Data scientist; Desktop applications developer; Database administrator,JavaScript; PHP; Python; Scala; SQL; Swift,7e4
United Kingdom,19 to 20 years,Web developer; Mobile developer; Desktop applications developer,C#; JavaScript; SQL; TypeScript,62500
United Kingdom,20 or more years,NA,C#; SQL; VBA,NA
Australia,20 or more years,Web developer,C#; JavaScript; SQL; VB.NET,60606.0606060606
Canada,Less than a year,NA,JavaScript,NA
Hungary,20 or more years,Mobile developer,Objective-C; Swift,17736.2252088131
Costa Rica,6 to 7 years,Web developer,JavaScript; PHP; Python,NA
Switzerland,6 to 7 years,Other,Assembly; C; C++; C#; Groovy; Java; JavaScript,NA
Germany,3 to 4 years,NA,Python; SQL; Swift; VBA,NA
United States,7 to 8 years,Web developer; Systems administrator; DevOps specialist,Ruby,NA
Hungary,17 to 18 years,Other,C++,41247.0353693328
Germany,14 to 15 years,Embedded applications/devices developer; Desktop applications developer; Quality assurance engineer,C++; SQL,NA
Canada,10 to 11 years,Desktop applications developer,C#; SQL,45454.5454545455
United States,8 to 9 years,Web developer; Desktop applications developer,Java; JavaScript; Objective-C; SQL,41e3
India,5 to 6 years,Web developer,Assembly; Go; Java; JavaScript; PHP,5285.56746439583
United States,20 or more years,Other,C++,NA
Romania,5 to 6 years,DevOps specialist,Python,NA
Brazil,14 to 15 years,Web developer; Developer with a statistics or mathematics background,Java; JavaScript; SQL,NA
Australia,7 to 8 years,Web developer; DevOps specialist,JavaScript; PHP; Ruby; SQL,NA
United States,6 to 7 years,Web developer; DevOps specialist,C#; Java; JavaScript; Matlab; PHP; Python; SQL; TypeScript; VB.NET,25e3
Mexico,7 to 8 years,Web developer,CoffeeScript; Groovy; JavaScript; Ruby,14536.0765550239
Austria,18 to 19 years,Web developer; Mobile developer; Desktop applications developer; Quality assurance engineer,C#; JavaScript; Scala; TypeScript,NA
Canada,15 to 16 years,Web developer,Java; JavaScript,NA
Poland,3 to 4 years,NA,C++,NA
Croatia,4 to 5 years,Web developer; Graphic designer,JavaScript; PHP; Python; SQL,NA
Canada,20 or more years,Web developer,JavaScript; TypeScript,68181.8181818182
India,7 to 8 years,Web developer,C#; JavaScript; SQL,3171.3404786375
United States,5 to 6 years,NA,Assembly; C; C++; Java; JavaScript,NA
Germany,8 to 9 years,NA,JavaScript; Matlab,NA
Germany,6 to 7 years,Desktop applications developer,Java; JavaScript; Python; SQL; Swift,33333.3333333333
France,7 to 8 years,Desktop applications developer,Java; Visual Basic 6,NA
New Zealand,8 to 9 years,Web developer,C#; SQL,58571.4285714286
United States,20 or more years,Embedded applications/devices developer; Data scientist; Desktop applications developer; Quality assurance engineer,SQL; VB.NET; VBA; Visual Basic 6,NA
United States,9 to 10 years,Web developer; Desktop applications developer; Database administrator; Systems administrator,C++; C#; Java; JavaScript; Perl; PHP; Python; SQL,52e3
United States,4 to 5 years,Web developer,PHP; SQL,5e4
Hungary,3 to 4 years,NA,Groovy; Java; SQL,NA
United States,20 or more years,Web developer; Developer with a statistics or mathematics background; DevOps specialist,C#; F#; JavaScript; Scala; SQL,NA
United States,6 to 7 years,Developer with a statistics or mathematics background,C; C++; C#; Perl; Python; SQL,NA
United States,14 to 15 years,Embedded applications/devices developer,C; Java; Python,81e3
United States,8 to 9 years,NA,C; C++; Java; Python; Ruby,NA
United States,7 to 8 years,Web developer; Mobile developer; Graphics programming; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; Systems administrator,Assembly; C; C++; Java; JavaScript; PHP; Ruby; SQL,NA
India,6 to 7 years,Web developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,Java; JavaScript; SQL,NA
United States,5 to 6 years,Embedded applications/devices developer; Graphics programming; Desktop applications developer; Systems administrator,Assembly; C; C++; Go; Java; JavaScript; Lua; Rust,NA
United States,1 to 2 years,Web developer,JavaScript; PHP; SQL; Visual Basic 6,NA
India,7 to 8 years,Web developer; Mobile developer; Desktop applications developer,C; JavaScript; SQL,NA
France,20 or more years,Web developer,JavaScript; PHP,64516.1290322581
United States,20 or more years,Web developer; Systems administrator,C++; JavaScript; Python,NA
Ireland,20 or more years,Developer with a statistics or mathematics background,C#; JavaScript; Python; SQL,NA
Brazil,16 to 17 years,Web developer; Other,JavaScript,19108.2802547771
United States,9 to 10 years,Web developer; Mobile developer,JavaScript; Python; Ruby; Swift,NA
Poland,9 to 10 years,Mobile developer,Objective-C; Swift,27160.4938271605
Australia,2 to 3 years,Web developer; Systems administrator,JavaScript; Python,NA
Poland,10 to 11 years,Desktop applications developer,C#; SQL; VB.NET,23703.7037037037
Philippines,20 or more years,Web developer; Database administrator,C#; JavaScript; TypeScript,NA
France,11 to 12 years,Web developer,JavaScript; PHP; SQL,NA
Jamaica,6 to 7 years,Web developer; Mobile developer; Desktop applications developer,C#; SQL,17e3
United States,20 or more years,Other,SQL,NA
Hungary,9 to 10 years,Web developer; Desktop applications developer; Database administrator,C#; JavaScript; SQL,34372.529474444
France,9 to 10 years,Embedded applications/devices developer; Desktop applications developer; DevOps specialist,Assembly; C; C++; Java; JavaScript; Python; Rust; Scala,NA
Lithuania,14 to 15 years,Web developer; Desktop applications developer,C#; JavaScript,NA
United States,8 to 9 years,NA,Assembly; C; Java; Python; SQL,NA
Philippines,11 to 12 years,Embedded applications/devices developer; Desktop applications developer,C; C++; C#; SQL,NA
Israel,11 to 12 years,Web developer,JavaScript; PHP; SQL; TypeScript,51752.0215633423
India,9 to 10 years,Web developer; Desktop applications developer,C++; Java,36705.3296138599
Romania,1 to 2 years,NA,C++; C#; Java; JavaScript; Lua; Swift,NA
France,20 or more years,Web developer; Mobile developer; Desktop applications developer; Database administrator,C#; CoffeeScript; JavaScript; PHP; SQL,NA
United States,20 or more years,Web developer,C#; JavaScript; TypeScript,8e4
France,7 to 8 years,NA,Python,NA
Germany,4 to 5 years,Systems administrator,Perl,NA
Germany,NA,Developer with a statistics or mathematics background; Data scientist; Systems administrator,C; C++; Java; Matlab; Python,NA
Germany,14 to 15 years,NA,Java; JavaScript; PHP; Ruby; SQL,NA
United Kingdom,7 to 8 years,NA,C; C++; Python,NA
United States,9 to 10 years,Web developer; Mobile developer; Database administrator; Systems administrator; DevOps specialist,C#,76e3
United States,6 to 7 years,Web developer,JavaScript; PHP; SQL,NA
United States,6 to 7 years,Developer with a statistics or mathematics background; Data scientist; Database administrator; Systems administrator,Python; R; SQL,NA
United States,7 to 8 years,Web developer,C#; JavaScript; SQL,82323
Israel,3 to 4 years,Web developer,C#,NA
United States,13 to 14 years,Web developer; Database administrator,C#; JavaScript; SQL; TypeScript,105e3
United States,20 or more years,Database administrator,Smalltalk,114e3
Sweden,1 to 2 years,NA,R,NA
Malta,4 to 5 years,Web developer; Mobile developer; Graphic designer,C#; Java; JavaScript; PHP; SQL,NA
Mexico,10 to 11 years,Web developer,C#; JavaScript; SQL; VBA,22857
France,4 to 5 years,Web developer; Mobile developer; Desktop applications developer,C#,31182.7956989247
France,20 or more years,Web developer; DevOps specialist,C; C#; Groovy; Java; JavaScript; PHP; Python; SQL; TypeScript,48387.0967741935
India,6 to 7 years,Web developer; Mobile developer; Desktop applications developer,C#; Java; JavaScript; SQL; TypeScript; VB.NET,NA
United States,5 to 6 years,Web developer,C#; Java; JavaScript; Matlab; SQL; VB.NET,NA
Syria,6 to 7 years,Web developer; Graphics programming; Graphic designer,NA,NA
United States,4 to 5 years,NA,NA,NA
United States,9 to 10 years,Web developer; Mobile developer; Quality assurance engineer,NA,11e4
United States,16 to 17 years,Desktop applications developer,NA,NA
France,6 to 7 years,Web developer; Mobile developer; Desktop applications developer,C; C#; JavaScript; Objective-C; Ruby; Swift,42473.1182795699
India,7 to 8 years,Web developer; Mobile developer; Data scientist,NA,NA
United States,7 to 8 years,Data scientist; Systems administrator; DevOps specialist,Java; JavaScript; SQL,NA
United States,2 to 3 years,NA,C; C#; Java; PHP; Python; Visual Basic 6,NA
United States,14 to 15 years,Other,C#; JavaScript; SQL; TypeScript,125e3
France,20 or more years,Other,Java; JavaScript; PHP; SQL,NA
United States,12 to 13 years,Web developer; DevOps specialist,Java; JavaScript; Python,115e3
Belgium,4 to 5 years,Web developer,JavaScript,NA
United Kingdom,6 to 7 years,Web developer,JavaScript,NA
United States,20 or more years,Web developer; Developer with a statistics or mathematics background; Database administrator,C#; Java; JavaScript; Python; SQL,NA
United Kingdom,7 to 8 years,NA,C#; JavaScript; PHP; SQL; VB.NET; VBA,NA
United States,9 to 10 years,NA,Java; JavaScript; Python,NA
India,7 to 8 years,Web developer,CoffeeScript; Java; JavaScript; Python; SQL; TypeScript,NA
United Arab Emirates,19 to 20 years,Web developer,CoffeeScript; Java; JavaScript; Python; TypeScript,NA
United States,16 to 17 years,Web developer; DevOps specialist,C#; Java; JavaScript; PHP; SQL; VB.NET; VBA,11e4
United States,8 to 9 years,Web developer; Database administrator,C#; Ruby; SQL,NA
Canada,8 to 9 years,Desktop applications developer,C#; F#; SQL; VB.NET,NA
United States,20 or more years,Web developer; Desktop applications developer,C#; JavaScript,NA
India,2 to 3 years,Web developer; Graphic designer,CoffeeScript; JavaScript; PHP; Ruby; SQL,NA
Turkey,10 to 11 years,Web developer; Desktop applications developer,Java; SQL,23655.9139784946
Australia,11 to 12 years,Mobile developer; Desktop applications developer,C#; JavaScript; Objective-C; Swift,45454.5454545455
United States,12 to 13 years,Web developer; DevOps specialist,JavaScript; Scala; SQL,108500
Pakistan,16 to 17 years,Mobile developer,Java,NA
India,3 to 4 years,Web developer,C#; JavaScript; Python; SQL,9837.02833651446
United States,4 to 5 years,NA,JavaScript; VBA,NA
Canada,12 to 13 years,Web developer; Developer with a statistics or mathematics background,C++; C#; Groovy; Java; JavaScript; Matlab; PHP; Python,53787.8787878788
Finland,2 to 3 years,Machine learning specialist; Data scientist,C++; C#; Python; Scala; SQL,40860.2150537634
United States,20 or more years,Desktop applications developer; Database administrator,C#; Java; JavaScript; Ruby; SQL,NA
United States,4 to 5 years,Web developer,C#; JavaScript; SQL,58e3
United Kingdom,6 to 7 years,Web developer,C#; JavaScript; TypeScript,NA
Colombia,10 to 11 years,Web developer; Mobile developer,Haskell; JavaScript; Objective-C; Swift,NA
India,2 to 3 years,Developer with a statistics or mathematics background,Java; Python,1468.2131845544
United Kingdom,16 to 17 years,Web developer,C#; JavaScript; SQL; TypeScript,63750
United Kingdom,20 or more years,Developer with a statistics or mathematics background; Desktop applications developer,C#; SQL,NA
Russian Federation,20 or more years,Developer with a statistics or mathematics background,C++; Java; Python,34085.2130325815
Canada,14 to 15 years,Web developer; Mobile developer; Graphics programming; Desktop applications developer; DevOps specialist,C; C++; C#; JavaScript; Lua; Ruby; TypeScript,NA
United States,12 to 13 years,Web developer,Java,NA
United States,6 to 7 years,NA,C++; JavaScript; Python,NA
Canada,15 to 16 years,Web developer; Desktop applications developer,C#; JavaScript; SQL,70454.5454545455
India,7 to 8 years,Mobile developer; Desktop applications developer,Java; Objective-C; Python; Swift,24959.6241374248
United States,20 or more years,Desktop applications developer,C; C++; C#; Matlab; Perl,NA
United States,20 or more years,Web developer; Developer with a statistics or mathematics background; DevOps specialist,C#; JavaScript; SQL,133e3
United States,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Desktop applications developer; Other,Assembly; C; Java; JavaScript; Objective-C; SQL; Swift,NA
France,16 to 17 years,NA,C; PHP; Python,NA
United States,20 or more years,Web developer; Database administrator,JavaScript; PHP,115e3
United Kingdom,20 or more years,Desktop applications developer,C++; C#; SQL,68750
United States,13 to 14 years,Web developer; Other,Java,NA
United States,20 or more years,Web developer,JavaScript; PHP; SQL,41e3
Australia,8 to 9 years,Web developer; Desktop applications developer; Database administrator,C#; JavaScript; SQL,45454.5454545455
Bangladesh,4 to 5 years,Web developer,C#,5261.83913806064
United States,12 to 13 years,Web developer,C#; JavaScript,NA
United States,19 to 20 years,Web developer; DevOps specialist,Java; JavaScript; PHP; Ruby; SQL,125e3
United States,20 or more years,Web developer; Data scientist; Desktop applications developer; Database administrator,C#; JavaScript; SQL,137500
United States,14 to 15 years,Mobile developer,Java; Scala; SQL,92500
Canada,17 to 18 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,C++; CoffeeScript; Java; JavaScript; Objective-C; Ruby; SQL; Swift,98484.8484848485
Malta,3 to 4 years,Web developer; Developer with a statistics or mathematics background,Haskell; Java; Python,22e3
Germany,12 to 13 years,Web developer,Groovy; Java; JavaScript; Python; Ruby; SQL,NA
Hungary,10 to 11 years,Web developer; Desktop applications developer,C#; JavaScript; SQL,NA
United Kingdom,20 or more years,Desktop applications developer; Other,C; C#,NA
Fiji,3 to 4 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Developer with a statistics or mathematics background; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,Java; JavaScript; PHP; Ruby; SQL; VB.NET; Visual Basic 6,NA
Germany,20 or more years,Desktop applications developer,C#,NA
United States,9 to 10 years,Web developer; Mobile developer,JavaScript,35e3
Greece,8 to 9 years,Desktop applications developer; Database administrator,C#; SQL; VB.NET,NA
Germany,20 or more years,Web developer,Java; SQL,NA
France,20 or more years,Desktop applications developer,C#; F#; Java,NA
United Kingdom,15 to 16 years,Web developer; Mobile developer; Desktop applications developer; DevOps specialist,C#; JavaScript; SQL; TypeScript,65e3
United States,20 or more years,Web developer; Database administrator; Systems administrator,C#; JavaScript; PHP; Python; SQL,115e3
Brazil,4 to 5 years,Web developer; Mobile developer; Quality assurance engineer,Java; JavaScript; PHP; Ruby,15674.2038216561
United Kingdom,20 or more years,Web developer; Desktop applications developer,C#; Java; Ruby; Scala; SQL,75e3
United States,9 to 10 years,NA,C; Python,NA
United Kingdom,9 to 10 years,Mobile developer,C++; C#; Python; SQL,43750
United Kingdom,20 or more years,Other,SQL,NA
Germany,7 to 8 years,NA,C++; C#; Java; Lua; Python,NA
Germany,20 or more years,Web developer; Desktop applications developer,JavaScript; Smalltalk,NA
Netherlands,17 to 18 years,Embedded applications/devices developer; Graphics programming; Developer with a statistics or mathematics background; Desktop applications developer,C++,NA
Canada,15 to 16 years,Mobile developer; Embedded applications/devices developer,C; C++; Java; SQL,NA
Poland,6 to 7 years,Web developer; Desktop applications developer,Java; JavaScript; Python; SQL,648.395061728395
United States,10 to 11 years,NA,JavaScript; Python,NA
Switzerland,20 or more years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,C#; F#; JavaScript; TypeScript,NA
France,13 to 14 years,Desktop applications developer,NA,38709.6774193548
Malaysia,6 to 7 years,Web developer; Desktop applications developer,C#; JavaScript; SQL,NA
United States,20 or more years,Desktop applications developer; Database administrator; Quality assurance engineer,C++,18e4
Slovak Republic,15 to 16 years,NA,JavaScript; PHP; SQL,NA
United Kingdom,20 or more years,Web developer,JavaScript; PHP; SQL,NA
Romania,3 to 4 years,Web developer,JavaScript,19354.8387096774
United States,5 to 6 years,Web developer,JavaScript; PHP,NA
United States,2 to 3 years,NA,C; Haskell; Java,NA
United States,20 or more years,NA,C; C++; Perl; Python,NA
United Kingdom,5 to 6 years,Developer with a statistics or mathematics background; Data scientist,Erlang; SQL; VB.NET; VBA,33750
United States,13 to 14 years,Desktop applications developer,C++; C#,137e3
Germany,20 or more years,Web developer,C#; JavaScript; SQL; TypeScript; VBA,64516.1290322581
United States,19 to 20 years,Web developer; Desktop applications developer,Java; Python,132e3
Belarus,20 or more years,Web developer,C#; JavaScript; SQL,NA
United States,4 to 5 years,Web developer,C#; JavaScript; PHP,31500
United States,7 to 8 years,Web developer,JavaScript; Ruby; TypeScript,11e4
Germany,16 to 17 years,Embedded applications/devices developer; Data scientist,C; C++; C#; Go; JavaScript; Python; R,NA
United States,11 to 12 years,Web developer,Java; JavaScript,72e3
Ireland,17 to 18 years,Developer with a statistics or mathematics background,C; C++; Python,NA
New Zealand,4 to 5 years,NA,Java; Objective-C,NA
Ireland,10 to 11 years,Web developer,Java; JavaScript; PHP; Python; Ruby; SQL,69892.4731182796
Canada,5 to 6 years,NA,Assembly; C; C++; C#; Java; JavaScript; PHP; Ruby; SQL; VB.NET; Visual Basic 6,NA
Hong Kong,3 to 4 years,NA,JavaScript; PHP; SQL,NA
Iran,13 to 14 years,NA,Assembly; Python,NA
Japan,8 to 9 years,Desktop applications developer,C++; Java; VBA,NA
United States,5 to 6 years,NA,Python; R,NA
Sweden,5 to 6 years,Developer with a statistics or mathematics background; Data scientist,C; C++; JavaScript; Python,40723.9819004525
United States,20 or more years,Web developer; Desktop applications developer,Java; SQL,16e4
China,4 to 5 years,NA,C++; Java; JavaScript; Matlab; Python; R; SQL,NA
United States,20 or more years,Other,C; C#; JavaScript; Python; VB.NET; Visual Basic 6,NA
Spain,20 or more years,Web developer; Embedded applications/devices developer; Desktop applications developer; Database administrator; Systems administrator; Quality assurance engineer,Java; JavaScript; SQL,NA
Japan,19 to 20 years,Web developer,Java; PHP; SQL,NA
France,7 to 8 years,Graphics programming,C++; C#; Matlab; Python,NA
Canada,20 or more years,Web developer; Desktop applications developer,C#; JavaScript; Python; SQL; VB.NET,NA
Canada,14 to 15 years,Web developer; Systems administrator; DevOps specialist,C#; Java; JavaScript; PHP; SQL,NA
United States,20 or more years,Web developer; Mobile developer; Desktop applications developer,C#; JavaScript; SQL,NA
United States,7 to 8 years,NA,Assembly; C; C++; Java; JavaScript; Lua; Matlab; Python,NA
Denmark,14 to 15 years,Web developer,C#; CoffeeScript; Go; Java; JavaScript; Objective-C; Python; Ruby; SQL; Swift,64393.9393939394
United States,5 to 6 years,NA,Assembly; C; C++; C#; Java; JavaScript; Python; Ruby; SQL; TypeScript,NA
United Kingdom,20 or more years,Web developer,C#; JavaScript; Ruby,40625
Finland,5 to 6 years,Web developer,JavaScript,16129.0322580645
Israel,20 or more years,Web developer,C#; JavaScript,45283.0188679245
United States,4 to 5 years,Web developer,C#; JavaScript; SQL; VB.NET,62e3
Australia,20 or more years,Web developer,Java,NA
Russian Federation,14 to 15 years,Web developer,JavaScript,33416.8755221387
United States,1 to 2 years,NA,Java; Matlab; Python,NA
Hungary,15 to 16 years,Web developer,C#; JavaScript; SQL,12635.3418348056
United States,11 to 12 years,Web developer,C#; JavaScript,52500
Romania,5 to 6 years,Web developer,C#; Java,13114.7540983607
Iran,1 to 2 years,Web developer; Data scientist,C#; JavaScript; SQL; TypeScript,NA
India,4 to 5 years,NA,C#; SQL,NA
Germany,15 to 16 years,Embedded applications/devices developer; Desktop applications developer,C; C++,51612.9032258064
Greece,20 or more years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,C#,NA
Canada,8 to 9 years,Embedded applications/devices developer,C; C++,37878.7878787879
